Feature ID	Taxon	Confidence
576213ccb9057d84debe2912712b63c6	k__Archaea; p__Crenarchaeota; c__MCG; o__B10; f__; g__; s__	0.9999999221594921
de476245c5e907faef8e6f818bb228d9	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfococcus; s__	0.8570134556466531
aa15676cdf859ec5ae25d8152d136687	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__	0.9905699856270488
4097d9e9eb4fdf6d129659bf458f256c	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	0.7884127935536375
b02cd5d201c960b2aac1cc5fe76d400e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__selenatarsenatis	0.9390943189765091
bbd753fd26239fa443c36c8fa4b06b55	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Tepidibacter; s__	0.9999592158333208
0a7a2565c0dc82d4a9e68ef930ead653	k__Bacteria; p__Acidobacteria; c__OS-K; o__; f__; g__; s__	0.9999988705681472
b4145006587afed401a488a563541b0a	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__; s__	0.8742329212368969
d0ec275387638f64976c27627738c17c	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae	0.9999913357091416
962e9bc11dd688d1a57f90b3c01004e9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridiisalibacter; s__	0.9999363109508472
3ded0ee6d81dbe79cd145ef32e04ecfd	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9889538787060385
b22aa5a751aa039a2283f1a6c400c33b	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__	0.9999897958463405
ad5781ac9f0d6ec1f8d2de7ad58267ae	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9844377896333794
c3e2917bb3c57a089a84273bcbb320f8	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfococcus; s__	0.7582104680717706
f49dfc2d301a2adffd826d8f174a79bd	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	0.7849447307745069
116b8d0b43fa699108f570f42f3c74b6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.987958351176243
979e912708c6e7b6883e92254204b31c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas	0.9999992306781352
a2577c81d25b461d943bf675f6b0a698	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__GCA004; f__; g__; s__	0.9997700718797273
9e68ca3884afba2c21a70d644830792a	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SB-34; f__; g__; s__	0.9996789762735012
a6f2b5905b9f710706de42811f12c343	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__[Clostridium]; s__difficile	0.7506226719322533
08ba9e2346cee8c45181880ad9f10558	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0.9999335895495544
9bf8a9170495e51692bbcafddf9c0d75	k__Bacteria; p__OP8; c__OP8_1; o__; f__; g__; s__	0.9999754384303976
113291a525d7d29b63eb1edc16a9fbdb	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__GCA004; f__; g__; s__	0.9993061510945372
c6de17b5b8ef36b6e9f354ec13930d7a	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae	0.9963608850239057
d2fd5fbd7686284a8b35a9020f04206b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__selenatarsenatis	0.9353339475202632
4786a2c79d919f4d6127e350f21a94e4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__selenatarsenatis	0.9504967156481321
70c95002c31dbfca5b7b6c2e8cb4383d	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae	0.998997234476358
49e5f57a691ba3cb14d421fd04e79037	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfarculales; f__Desulfarculaceae; g__; s__	0.9997120468217262
a90c76d9438bab51d37b93ca78355be4	k__Archaea; p__Crenarchaeota; c__MCG; o__pGrfC26; f__; g__; s__	0.9999999728092351
a3f0999ce40aae89c69eaa80c1fdfbdd	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__; s__	0.8818017511118087
6128be1fcb84c176e29d9c67ea0a7d28	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Vibrio	0.8286857138107555
4ca2cba25d686d310f6c4824c4e842f5	k__Archaea; p__Crenarchaeota; c__MCG; o__B10; f__; g__; s__	0.9999954951032782
699da4f75dc2ad4b52e10d9bfb0cba6d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__	0.9890286001693144
bee0044928fbd7bbf3383ef2a55f8ce3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__	0.9833330910426252
4a1b540f2e2452beae948980c5d1fafb	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__koll13; g__; s__	0.9921283355874
dcdbd64ad4f15dd6cbe741c79b20ec9f	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.9999953334807556
05813df38164dcd7a52fb122bf0a8b86	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Bacillus	0.9691246275228842
4812c619f02fdcfe7b44fdad21c34f62	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	0.9998688302185084
9c9ad2604c21cc7a302288c6fb341f74	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__	0.9892715450569086
33ddd77a2bef1164d58c1eea720d11d5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thioclava	0.8047929329427634
d58376f98d4bd561ae36f7f45d4527bc	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.9962983888435293
3c7ceeabf19edd945d9d9e99cf5029f3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__	0.8235251009848449
e880dc22636508576dbbb9c1e543e176	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	0.9190080809802298
5398781a0998cf59ac410e35d6788706	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Marinobacter; s__bryozoorum	0.9237499590565103
c43f93150c43ad15c457364ca1176b9e	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__llatzerense	0.7525028998779738
